Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,13,Aug 19 - Aug 31,25.6,25,26.1,25.0 - 26.1,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,13,Aug 19 - Aug 31,15.6,14.2,17.1,14.2 - 17.1,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,Aug 19 - Aug 31,11.1,9.7,12.5,9.7 - 12.5,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,Aug 19 - Aug 31,25,22.3,27.9,22.3 - 27.9,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,Aug 19 - Aug 31,20,17.3,22.9,17.3 - 22.9,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,Aug 19 - Aug 31,20.1,19.1,21.2,19.1 - 21.2,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,Aug 19 - Aug 31,23.5,22.7,24.4,22.7 - 24.4,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,Aug 19 - Aug 31,24,23.4,24.6,23.4 - 24.6,,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,13,Aug 19 - Aug 31,25.2,21.9,28.6,21.9 - 28.6,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,13,Aug 19 - Aug 31,19.2,16.6,21.9,16.6 - 21.9,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,13,Aug 19 - Aug 31,20.2,17.9,22.6,17.9 - 22.6,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,Aug 19 - Aug 31,25.3,22,28.8,22.0 - 28.8,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,13,Aug 19 - Aug 31,20.1,18.3,21.9,18.3 - 21.9,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,13,Aug 19 - Aug 31,22,19.7,24.4,19.7 - 24.4,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,Aug 19 - Aug 31,23.1,19.7,26.8,19.7 - 26.8,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,13,Aug 19 - Aug 31,24,20.5,27.7,20.5 - 27.7,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,Aug 19 - Aug 31,27.6,22.3,33.4,22.3 - 33.4,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,13,Aug 19 - Aug 31,21.3,18.6,24.1,18.6 - 24.1,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,13,Aug 19 - Aug 31,22.8,20.2,25.6,20.2 - 25.6,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,Aug 19 - Aug 31,19.6,16,23.6,16.0 - 23.6,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,13,Aug 19 - Aug 31,25.2,22.4,28.3,22.4 - 28.3,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,13,Aug 19 - Aug 31,20.3,18,22.7,18.0 - 22.7,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,13,Aug 19 - Aug 31,25.3,22.4,28.3,22.4 - 28.3,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,13,Aug 19 - Aug 31,25,21.9,28.2,21.9 - 28.2,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,13,Aug 19 - Aug 31,23.9,20.4,27.7,20.4 - 27.7,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,Aug 19 - Aug 31,28.4,24.6,32.5,24.6 - 32.5,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,Aug 19 - Aug 31,26.6,23.3,30.1,23.3 - 30.1,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,13,Aug 19 - Aug 31,28,23.8,32.4,23.8 - 32.4,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,13,Aug 19 - Aug 31,20.5,18.3,22.8,18.3 - 22.8,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,Aug 19 - Aug 31,24.6,22.6,26.7,22.6 - 26.7,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,13,Aug 19 - Aug 31,23.4,20.8,26.2,20.8 - 26.2,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,Aug 19 - Aug 31,23.7,21.5,26.1,21.5 - 26.1,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,Aug 19 - Aug 31,21.7,18.2,25.6,18.2 - 25.6,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,13,Aug 19 - Aug 31,25.9,23.1,28.9,23.1 - 28.9,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,13,Aug 19 - Aug 31,21.9,18.7,25.4,18.7 - 25.4,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,Aug 19 - Aug 31,25.3,21.6,29.2,21.6 - 29.2,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,13,Aug 19 - Aug 31,17.7,15.4,20.1,15.4 - 20.1,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,Aug 19 - Aug 31,24.3,20.4,28.5,20.4 - 28.5,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,Aug 19 - Aug 31,21.8,19.3,24.4,19.3 - 24.4,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,Aug 19 - Aug 31,23,19.9,26.2,19.9 - 26.2,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,13,Aug 19 - Aug 31,21.9,19.4,24.5,19.4 - 24.5,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,Aug 19 - Aug 31,22.5,19.8,25.5,19.8 - 25.5,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,Aug 19 - Aug 31,20.7,16.8,25.2,16.8 - 25.2,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,13,Aug 19 - Aug 31,23.6,20,27.5,20.0 - 27.5,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,Aug 19 - Aug 31,24.3,21.7,27,21.7 - 27.0,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,13,Aug 19 - Aug 31,28.3,25.5,31.3,25.5 - 31.3,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,Aug 19 - Aug 31,25.5,22.4,28.8,22.4 - 28.8,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,Aug 19 - Aug 31,25.9,22.2,30,22.2 - 30.0,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,Aug 19 - Aug 31,21.9,18.9,25.1,18.9 - 25.1,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,Aug 19 - Aug 31,20.1,16.4,24.2,16.4 - 24.2,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,Aug 19 - Aug 31,24,21.1,27.1,21.1 - 27.1,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,13,Aug 19 - Aug 31,18.8,16.8,21,16.8 - 21.0,17.7-21.7,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,13,Aug 19 - Aug 31,27.5,24.7,30.4,24.7 - 30.4,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,13,Aug 19 - Aug 31,27.8,22.5,33.6,22.5 - 33.6,25.4-28.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,13,Aug 19 - Aug 31,21.8,19.2,24.6,19.2 - 24.6,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,13,Aug 19 - Aug 31,25,23.4,26.7,23.4 - 26.7,23.6-25.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,Aug 19 - Aug 31,23.5,19.9,27.4,19.9 - 27.4,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,Aug 19 - Aug 31,22.1,19.5,24.9,19.5 - 24.9,21.8-23.5,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,Aug 19 - Aug 31,20.5,16.9,24.4,16.9 - 24.4,17.7-21.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,2,13,Aug 19 - Aug 31,9.2,8.8,9.6,8.8 - 9.6,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,Aug 19 - Aug 31,15.6,14.5,16.7,14.5 - 16.7,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,Aug 19 - Aug 31,12.9,11.9,13.9,11.9 - 13.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,Aug 19 - Aug 31,10,9.3,10.7,9.3 - 10.7,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,Aug 19 - Aug 31,7.7,6.9,8.5,6.9 - 8.5,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,Aug 19 - Aug 31,5.3,4.8,5.9,4.8 - 5.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,Aug 19 - Aug 31,2.9,2.2,3.6,2.2 - 3.6,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,13,Aug 19 - Aug 31,1.4,0.9,2,0.9 - 2.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Male,2,13,Aug 19 - Aug 31,6.8,6.2,7.3,6.2 - 7.3,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Female,2,13,Aug 19 - Aug 31,11.4,10.9,11.9,10.9 - 11.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,Aug 19 - Aug 31,2.4,2.2,2.7,2.2 - 2.7,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,Aug 19 - Aug 31,21,20.2,21.8,20.2 - 21.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,Aug 19 - Aug 31,9.6,8.6,10.6,8.6 - 10.6,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,13,Aug 19 - Aug 31,9.1,8.7,9.5,8.7 - 9.5,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,13,Aug 19 - Aug 31,9.3,8.3,10.3,8.3 - 10.3,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,Aug 19 - Aug 31,4.8,3.9,5.8,3.9 - 5.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,Aug 19 - Aug 31,14.2,12.1,16.4,12.1 - 16.4,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,Aug 19 - Aug 31,7,5.4,8.8,5.4 - 8.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,Aug 19 - Aug 31,7,6.3,7.8,6.3 - 7.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,Aug 19 - Aug 31,11.2,10.6,11.9,10.6 - 11.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,Aug 19 - Aug 31,9.7,9.2,10.1,9.2 - 10.1,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,13,Aug 19 - Aug 31,8.4,6.5,10.6,6.5 - 10.6,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,2,13,Aug 19 - Aug 31,8.5,6.7,10.7,6.7 - 10.7,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,2,13,Aug 19 - Aug 31,9.7,7.8,11.8,7.8 - 11.8,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,Aug 19 - Aug 31,7.7,6.3,9.4,6.3 - 9.4,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,2,13,Aug 19 - Aug 31,9.2,8,10.5,8.0 - 10.5,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,2,13,Aug 19 - Aug 31,10.8,9,12.8,9.0 - 12.8,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,Aug 19 - Aug 31,8.1,6.7,9.8,6.7 - 9.8,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,13,Aug 19 - Aug 31,7.7,5.7,10.1,5.7 - 10.1,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,Aug 19 - Aug 31,11.3,8.1,15.2,8.1 - 15.2,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,2,13,Aug 19 - Aug 31,11,9,13.2,9.0 - 13.2,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,2,13,Aug 19 - Aug 31,10.2,8.6,12.1,8.6 - 12.1,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,Aug 19 - Aug 31,6.6,4.2,9.7,4.2 - 9.7,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,2,13,Aug 19 - Aug 31,9.2,6.9,11.9,6.9 - 11.9,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,2,13,Aug 19 - Aug 31,8.8,7.3,10.6,7.3 - 10.6,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,2,13,Aug 19 - Aug 31,9.6,7.9,11.4,7.9 - 11.4,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,2,13,Aug 19 - Aug 31,7.2,5.7,9.1,5.7 - 9.1,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,2,13,Aug 19 - Aug 31,9.2,7.1,11.6,7.1 - 11.6,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,Aug 19 - Aug 31,8.9,6.8,11.5,6.8 - 11.5,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,Aug 19 - Aug 31,9.3,6.6,12.6,6.6 - 12.6,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,2,13,Aug 19 - Aug 31,11.8,8.7,15.5,8.7 - 15.5,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,2,13,Aug 19 - Aug 31,10.1,7.8,12.8,7.8 - 12.8,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,Aug 19 - Aug 31,9.1,7.5,10.9,7.5 - 10.9,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,2,13,Aug 19 - Aug 31,10.2,8.2,12.6,8.2 - 12.6,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,Aug 19 - Aug 31,8.1,6.6,9.9,6.6 - 9.9,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,Aug 19 - Aug 31,8.4,6.3,10.8,6.3 - 10.8,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,2,13,Aug 19 - Aug 31,11.2,9,13.7,9.0 - 13.7,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,2,13,Aug 19 - Aug 31,9.3,7.2,11.9,7.2 - 11.9,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,Aug 19 - Aug 31,7.7,5.8,10,5.8 - 10.0,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,2,13,Aug 19 - Aug 31,9.9,7.7,12.6,7.7 - 12.6,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,Aug 19 - Aug 31,7.3,5.3,9.7,5.3 - 9.7,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,Aug 19 - Aug 31,7.6,5.7,9.8,5.7 - 9.8,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,Aug 19 - Aug 31,11.1,8.6,14,8.6 - 14.0,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,2,13,Aug 19 - Aug 31,9.4,7.8,11.3,7.8 - 11.3,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,Aug 19 - Aug 31,9.5,7.4,12,7.4 - 12.0,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,Aug 19 - Aug 31,5.7,3.8,8,3.8 - 8.0,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,2,13,Aug 19 - Aug 31,9.3,7.1,12,7.1 - 12.0,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,Aug 19 - Aug 31,9,6.9,11.5,6.9 - 11.5,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,2,13,Aug 19 - Aug 31,12.9,10.8,15.3,10.8 - 15.3,10.2-12.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,Aug 19 - Aug 31,7.8,6.1,9.7,6.1 - 9.7,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,Aug 19 - Aug 31,7,4.7,9.8,4.7 - 9.8,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,Aug 19 - Aug 31,9.3,7.2,11.7,7.2 - 11.7,9.2-10.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,Aug 19 - Aug 31,6.3,4.2,9,4.2 - 9.0,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,Aug 19 - Aug 31,8.9,7.3,10.8,7.3 - 10.8,7.8-9.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,2,13,Aug 19 - Aug 31,7.4,6.4,8.6,6.4 - 8.6,5.7-7.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,2,13,Aug 19 - Aug 31,11.5,9.2,14.1,9.2 - 14.1,10.2-12.9,
